rank,verb,candidate_passive_count,active_count,total_occurrences
46,HAVE,35983,10987285,11023268
37,KNOW,40455,5367677,5408132
2,DO,425043,4849599,5274642
9780,AUX,1,5168589,5168590
192,THINK,10547,3620492,3631039
285,WANT,6223,2693601,2699824
1017,THANK,704,2475917,2476621
7,GET,131372,2207953,2339325
1,GO,554734,1561271,2116005
30,SAY,52880,1840963,1893843
29,NEED,57502,1497944,1555446
42,COME,37359,1276716,1314075
128,MEAN,16907,1195505,1212412
3,MAKE,184033,792615,976648
101,LOOK,20363,841568,861931
55,SEE,33588,810707,844295
14,TAKE,99746,679809,779555
11,PUT,117917,438858,556775
4,USE,172978,352348,525326
12,GIVE,110993,407912,518905
86,START,22294,490455,512749
90,WORK,21844,461210,483054
566,BELIEVE,2050,468950,471000
5,CALL,146692,270316,417008
132,TALK,16585,395334,411919
406,FEEL,3712,387959,391671
31,MOVE,51620,331508,383128
23,ASK,65065,304079,369144
2428,GUESS,87,364764,364851
21,BRING,71661,277948,349609
110,HAPPEN,19349,316014,335363
926,LIKE,847,332414,333261
335,UNDERSTAND,5065,287557,292622
28,TELL,58826,231541,290367
65,FIND,30201,244157,274358
191,APPRECIATE,10888,260011,270899
62,HEAR,30616,238321,268937
6,APPROVE,134139,134735,268874
71,SHOW,27814,235882,263696
24,INCLUDE,64720,190939,255659
260,WIN,6763,245960,252723
27,PROVIDE,59662,187872,247534
9,REQUIRE,129014,113527,242541
960,SEEM,785,225228,226013
16,ALLOW,90134,134721,224855
70,MENTION,28066,193815,221881
33,LEAVE,50127,165672,215799
387,LOVE,3969,211276,215245
414,TRY,3536,211166,214702
95,MEET,21159,192752,213911
226,HELP,8272,200355,208627
464,LIVE,2920,201975,204895
2009,HAVEN,142,202951,203093
58,PASS,32062,170384,202446
64,RECEIVE,30316,171847,202163
78,CARRY,23719,169690,193409
164,KEEP,13182,179851,193033
178,LET,11833,178405,190238
25,PAY,62807,126276,189083
13,BUILD,99950,81645,181595
242,AGREE,7479,167744,175223
17,SET,84235,88723,172958
172,CONTINUE,12785,155743,168528
133,RUN,16456,148195,164651
8,INVOLVE,130232,32638,162870
207,BECOME,9684,152130,161814
41,CHANGE,39103,113851,152954
48,SEND,35353,116168,151521
525,REMEMBER,2246,148181,150427
22,HOLD,67606,72561,140167
187,DECIDE,11090,125575,136665
10,BASE,128561,5545,134106
66,SPEND,29934,103349,133283
140,READ,15767,117028,132795
311,SPEAK,5570,124071,129641
34,WRITE,46568,79143,125711
26,PRESENT,61623,63573,125196
130,SERVE,16811,107925,124736
39,ADD,39556,84037,123593
20,CONSIDER,71729,51674,123403
141,TURN,15629,107478,123107
54,CREATE,33588,85648,119236
15,SUPPOSE,95305,20356,115661
19,PROPOSE,78700,36707,115407
492,END,2535,111845,114380
135,SUPPORT,16209,96836,113045
63,RECOMMEND,30411,81178,111589
220,PLAY,8681,101909,110590
889,STAND,919,109264,110183
2410,WISH,89,108234,108323
202,MISS,9864,94446,104310
38,DISCUSS,40165,63264,103429
102,OFFER,20310,78781,99091
119,LOSE,18069,79758,97827
120,HIT,17939,79500,97439
74,OWN,26774,70077,96851
1328,SOUND,378,94891,95269
657,BEGIN,1591,93603,95194
373,LEARN,4109,90880,94989
162,VOTE,13250,81476,94726
940,WALK,817,92768,93585
123,PLAN,17309,75156,92465
49,RECOGNIZE,35215,57135,92350
18,LOCATE,82572,5280,87852
75,EXPECT,26068,58515,84583
160,REPRESENT,13402,71141,84543
227,OPEN,8233,74948,83181
177,CHOOSE,12031,70625,82656
158,PICK,13661,68986,82647
1274,CAN,409,79646,80055
320,BUY,5320,73992,79312
68,RAISE,29487,49821,79308
56,COVER,32849,46213,79062
467,REALIZE,2841,75681,78522
139,DRIVE,15809,62667,78476
472,WELCOME,2777,75265,78042
151,FOLLOW,14679,63349,78028
32,COMPLETE,51064,26886,77950
40,DEVELOP,39114,38702,77816
53,RELATE,33679,43208,76887
711,SIT,1377,75303,76680
47,CLOSE,35399,40471,75870
577,FALL,2012,72421,74433
36,ADDRESS,40783,32886,73669
170,REPORT,12868,60615,73483
236,GROW,7706,65111,72817
43,SUBMIT,37181,34605,71786
50,ADOPT,34616,36679,71295
282,ATTEND,6308,64398,70706
797,STAY,1116,69477,70593
85,REQUEST,22388,48150,70538
143,APPLY,15161,54150,69311
108,BREAK,19582,49708,69290
180,LEAD,11561,57595,69156
125,SHARE,17099,51741,68840
154,OPPOSE,14417,54125,68542
156,PULL,14018,53729,67747
103,CUT,20211,45142,65353
114,INCREASE,18700,45281,63981
82,SELL,22526,40984,63510
626,ENJOY,1760,61701,63461
179,STATE,11650,50768,62418
183,ENCOURAGE,11339,50996,62335
267,STOP,6650,55326,61976
314,NOTICE,5426,56299,61725
98,SIGN,20930,40357,61287
186,TEACH,11182,48176,59358
61,IDENTIFY,31220,27534,58754
35,DESIGN,45113,13333,58446
87,AFFECT,22081,34697,56778
370,COST,4157,52559,56716
44,REMOVE,36834,18873,55707
278,INDICATE,6348,48441,54789
94,REVIEW,21472,33109,54581
118,FINISH,18101,35694,53795
1079,EXIST,608,53145,53753
45,FUND,36324,17345,53669
215,THROW,9196,42090,51286
149,FOCUS,14807,36064,50871
73,PREPARE,26782,23326,50108
232,SUGGEST,8005,41231,49236
516,OCCUR,2342,46822,49164
57,LIST,32262,16413,48675
121,ACCEPT,17814,30791,48605
189,JOIN,11031,36676,47707
235,DEAL,7778,39787,47565
93,FILL,21556,25958,47514
84,INVITE,22449,24936,47385
67,PLACE,29888,17337,47225
410,FORGET,3625,41997,45622
651,CARE,1618,43947,45565
72,PERMIT,26867,18648,45515
329,POINT,5181,39715,44896
60,CONCERN,31374,12856,44230
99,DETERMINE,20898,23132,44030
1970,DEPEND,148,43588,43736
983,REMAIN,748,42888,43636
1336,APPEAR,369,43125,43494
147,HIRE,14983,27979,42962
52,BEAR,33770,9190,42960
706,WATCH,1411,40730,42141
159,REFER,13469,28330,41799
308,REACH,5624,35860,41484
92,INTEND,21650,19804,41454
59,ELECT,31379,9968,41347
51,SCHEDULE,34013,6683,40696
79,POST,23656,17036,40692
137,MAINTAIN,16041,24470,40511
883,DIE,946,39476,40422
152,AUTHORIZE,14661,25338,39999
911,WAIT,877,39068,39945
349,CHECK,4811,34968,39779
300,DROP,5849,33915,39764
169,PURCHASE,12934,26386,39320
115,GRANT,18534,20659,39193
1637,WONDER,235,38498,38733
89,ISSUE,22004,16643,38647
163,CATCH,13218,25307,38525
80,REPLACE,23410,14935,38345
5339,WOULDN,7,38260,38267
198,ANTICIPATE,10146,28100,38246
2304,APOLOGIZE,99,38034,38133
199,ANSWER,9934,27883,37817
338,EXPLAIN,5028,32691,37719
136,REDUCE,16208,21510,37718
1311,TEND,387,37243,37630
167,NOTE,13090,24439,37529
76,ESTABLISH,24138,12939,37077
804,PARTICIPATE,1098,35934,37032
106,UPDATE,19852,17121,36973
124,IMPACT,17265,19492,36757
165,COLLECT,13158,23406,36564
77,HONOR,24003,12555,36558
122,CONNECT,17472,18547,36019
111,CHARGE,19286,16429,35715
344,ENTER,4910,30190,35100
203,REFLECT,9863,25102,34965
234,SHOOT,7806,27075,34881
69,RESOLVE,28686,6165,34851
222,DRAW,8564,26095,34659
96,NAME,21109,13541,34650
296,OPERATE,6010,28606,34616
530,ASSUME,2222,32324,34546
258,FACE,6817,27655,34472
91,TIE,21729,12706,34435
97,SECONDED,21108,13273,34381
253,SAVE,7017,27345,34362
218,PUSH,8749,25356,34105
168,HANDLE,12999,20568,33567
107,LIMIT,19651,13681,33332
568,FIGURE,2040,30980,33020
157,INTRODUCE,13837,18778,32615
105,ADJOURN,19866,12525,32391
288,COUNT,6136,25882,32018
608,CONCLUDE,1861,29859,31720
304,CAUSE,5683,26016,31699
760,GRADUATE,1219,30441,31660
127,TREAT,16976,14362,31338
1016,FIT,706,30553,31259
659,FAIL,1587,29130,30717
6870,LIFE,3,30599,30602
112,SELECT,18946,11440,30386
1250,RECALL,424,29708,30132
142,COMMIT,15337,14558,29895
129,ENGAGE,16879,12962,29841
1317,DESERVE,383,29434,29817
673,VISIT,1534,28250,29784
145,COMPARE,15051,14662,29713
811,LISTEN,1084,28615,29699
231,MANAGE,8081,21345,29426
109,APPOINT,19541,9782,29323
88,AWARD,22045,7096,29141
761,STEP,1218,27791,29009
134,DIRECT,16436,12349,28785
190,HEAD,10955,17694,28649
2001,PRAY,143,28155,28298
144,BUDGET,15087,13022,28109
83,INSTAL,22487,5516,28003
4912,AREN,9,27900,27909
188,INCORPORATE,11058,16429,27487
161,PROTECT,13278,14120,27398
116,TRAIN,18495,8832,27327
274,APPROACH,6471,20630,27101
731,RESPOND,1306,25734,27040
81,ASSOCIATE,22742,4263,27005
138,IMPLEMENT,15911,11024,26935
252,DESCRIBE,7137,19696,26833
225,EXTEND,8350,18363,26713
166,FILE,13091,13615,26706
184,LAY,11300,15035,26335
200,RETIRE,9900,16406,26306
146,DEFINE,15031,11101,26132
701,EAT,1427,24660,26087
439,KICK,3197,22608,25805
131,FIX,16643,9144,25787
368,ROLL,4182,21485,25667
194,IMPROVE,10363,15196,25559
104,ATTACH,20064,5399,25463
334,TOUCH,5118,19930,25048
113,DESIGNATE,18909,6022,24931
230,STICK,8127,16391,24518
241,CORRECT,7481,16990,24471
412,KNOCK,3577,20882,24459
195,PROJECT,10349,14066,24415
148,AMEND,14860,9532,24392
185,KILL,11214,13141,24355
292,RETURN,6106,18130,24236
437,PROMISE,3270,20733,24003
196,GENERATE,10251,13574,23825
171,UTILIZE,12867,10906,23773
100,CONSTRUCT,20417,3246,23663
205,PARK,9745,13761,23506
324,REMIND,5238,17991,23229
117,CERTIFY,18305,4682,22987
1065,JUMP,632,22297,22929
256,CONTACT,6868,15988,22856
204,DELIVER,9851,12986,22837
963,LIE,781,21921,22702
286,PRODUCE,6206,15996,22202
213,PROVE,9214,12954,22168
